External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Start Date,Age,Class,Venue,Entry Fee,Registration Form,Reg Form,Flyer
4152262,USSSA Tri-State Championship Swing for Bob,"<p>(Games could start on Friday evening)</p><p>Tri State includes Indiana Illinois and Kentucky</p><p>Price is $325.00 5gg Pool Play seeded into bracket play<br />Price is $250.00 8 and under 5gg Pool Play Seeded into bracket play</p><p>Team Awards to 1st &amp; 2nd place<br />Individual Awards for 1st place &amp; 2nd place</p><p>Age Groups 8-10-12-14-16-18 &amp; under “Open” Class A &amp; B<br />16 &amp; 18 under could be combined for High School Division</p><p>20% of Net proceeds will go to the Price family in their time of need Bob Price the coach of Indiana<br />Outkast was diagnosed with stage 4 cancer in January 2014</p><p>What are the Game MVP awards and how do they work?</p><p>For each game of the pool play teams will be provided with GAME MVP medals. These medals are to be presented to the MVP player of the game from the opposing team. We ask that you speak with the coaches of the other team to avoid repeat awards of a medal to a player. Example: If a player gets a Game MVP medal during the teams’ first pool game. Please choose a different player for their second game.</p><p>Teams still have to meet there own home state requirements to solidify a USSSA World Series berth</p><p>All teams have to be USSSA sanctioned<br />&nbsp;If you have questions please contact</p><p>Jeff Sanders USSSA Indiana State Director @ 812-887-0501 or email @ <a href=""mailto:youthfastpitch@hotmail.com"">youthfastpitch@hotmail.com</a><br />Go to <a href=""http://www.usssa.com"">www.usssa.com</a>&nbsp; or <a href=""http://www.youthfastpitch.net"">www.youthfastpitch.net</a> to register for all events</p>",26-Apr-2013,03-Jun-2013,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,1050 West Jones Drive,,Terre Haute,Indiana,47805,US,31-May-2013,Adult 18/u 17/u 16/u 15/u 14/u 13/u 12/u 11/u 10/u 9/u 8/u 7/u 6/u,A B Open,Miss Softball America,$325,,/Tournaments/4152262_342040_fast-pitch-registration-form.pdf,/Tournaments/4152262_341991_2013 FP Tri - State for Bob Benefit.pdf
4159721,Wave the Pumpkins,"<p>The Lincoln Way Blue Wave would like to invite you to the Wave the Pumpkins Home Fastpitch Tournament to be held on October 11th-13th. The tournament will be held at Heritage Park Sports Complex, which have 4 lighted diamonds, with full concessions, bathrooms and plenty of parking.<br />
NO GATE FEE WILL BE CHARGED.</p>
<p>All pool play games will be 75 minute time limit, no new inning. Bracket Play will be 75 minute time limit no new inning can start. This is a 4 game minimum guarantee 3 pool games into a single elimination brackets. Championship Games will have no time limit.</p>
<p>1 MVP medal per team per game for pool play games for the 9u, 10u, 11u, 12u levels.&nbsp; Individual trophies and team trophies for 1st-4th place based on 8 teams.<br />
&ndash; &nbsp;&nbsp; &nbsp;The tournament reserves the right to change/modify rules as needed. One game constitutes a<br />
&nbsp;&nbsp; &nbsp;tournament. In the event of rain, the tournament director reserves the right to change the format.<br />
&nbsp;&nbsp; &nbsp;Every effort will be made to complete the entire tournament. After 9/11/2014 no refunds will be allowed.&nbsp; In the event the entire tournament is rained out we will return $395.00, $100.00 will be kept for administrative fees and field costs.</p>
<p>Based on the number of teams, berths will be awarded by USSSA to the 2014 USSSA World Series.</p>
<p>Min games guaranteed: 4-3 pool and single elimination<br />
&nbsp;<br />
Max teams per division: 8</p>
",15-May-2013,13-Oct-2013,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,1550 Sangamon,,Crete,IL,60417,US,11-Oct-2013,18/u 16/u 14/u 13/u 12/u 11/u 10/u 9/u,Open,Heritage Park Sports Complex,$495,,,/Tournaments/4159721_341991_Pumpkin.pdf
4332563,ROMEOVILLE STARZZ Fall Spectacular,"<ul>
    <li>Entry Fee $400 &ndash; Entry fee is non-refundable unless spot is filled</li>
    <li>
    4 game guarantee, weather permitting, 2 games Pool Play, Double Elimination Tournament</li>
    <li>
    1 game constitutes a tournament if rain a $75 Admin fee will be kept</li>
    <li>
    Individual Awards to top 2 finishers</li>
</ul>
",22-Aug-2013,29-Sep-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/14/u;/Fast Pitch/Illinois State Tournaments/16/u;,,,Romeoville,,,US,27-Sep-2013,14/u 16/u,A,,$400.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/tournaments/ROMEOVILLE  STARZZ fall spectacular flyer.pdf
4332559,Meteors 3rd Annual Pumpkin Classic,"<p><strong>Round Robin 16U/18U Combined Open<br />
USSSA World Series Qualifier<br />
Sunday, October 13, 2013</strong></p>
<p>&nbsp;</p>
<p>The Meteor&rsquo;s Pumpkin Classic is a guaranteed four game, weather permitting, eight team, two pool round robin. Each pool team will play each other once and based on seeding, the top team from each pool will play for first place and the remaining teams for third through eighth.  </p>
",22-Aug-2013,13-Oct-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/16/u;/Fast Pitch/Illinois State Tournaments/18/u;,3703 N. Richmond Road,,Johnsburg,IL,,US,13-Oct-2013,16/u 18/u,Open,McHenry Township Park,$375,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2013-14 Pumpkin Classic!.pdf
4193393,Algonquin Aces Fall Fling,"<p>3 Game Guarantee &ndash; weather permitting</p>
<p>Individual Trophies for 1st &amp; 2nd Place</p>
<p>World Series Berth awarded to 1st &amp; 2nd Place</p>
",10-Jul-2013,29-Sep-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/12/u;/Fast Pitch/Illinois State Tournaments/14/u;/Fast Pitch/Illinois State Tournaments/16/u;/Fast Pitch/Illinois State Tournaments/18/u;,,,Algonquin,IL,,US,27-Sep-2013,12/u 14/u 16/u 18/u,Open,,$425,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/tournaments/2013 Aces Fall Fling Tournament Registration.pdf
4355642,2013 Second Annual Fall Blast USSSA Qualifier,<ul><li>8 Team Maximum Per Age Group</li><li>4 Game Guarantee( 3 Pool Games/Single Elimination With Weather Permitting)</li><li>$425.00 Entry Fee</li><li>All Games Will Have A 75 Minute Time Limit – With Exception Of Championship Game</li><li>During Pool Games We Will Have Free Substitutions &amp; A Continuous Batting Order</li><li>USSSA Rules Will Apply During Bracket Play</li><li>All Teams Must Provide Insurance &amp; Birth Certificates And Be USSSA Registered</li><li>Trophies Will Be Awarded To 1st &amp; 2nd Place Finishers Of Each Age Group</li><li>HCC Has A Great Concession Stand And A Playground For The Kids</li><li>200 Foot Fences For All Levels Except 10U</li><li>Team Coolers Are Allowed – Outside Food Is Not Allowed</li></ul>,23-Aug-2013,28-Oct-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,9400 Forest Hills Road,,Loves Park,IL,,US,26-Oct-2013,18/u 16/u 14/u 12/u 10/u,Open,Harlem Sports Complex,$425.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2013 Belvidere Blasters Second Annual Fall Blast USSSA Qualifier.pdf
4357678,Northern Ice 9th Fall Freeze Out,"<p>Game Times: 90 Minutes Finish the Inning<br />
3 Game Guarantee / Double elimination (No If Necessary Game - Winner Take All)<br />
Maximum Teams: 16 (per age group)<br />
2 ""A"" Bids; 2 ""B"" Bids; Bids Base on number of teams entered<br />
Individual Awards for 1st and 2nd Place Teams<br />
No Game Balls Required<br />
Waukegan Park District has 5 parking fee per day</p>
",28-Aug-2013,22-Sep-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,,,Waukegan,IL,,US,21-Sep-2013,18/u 16/u 15/u 14/u 13/u 12/u 11/u 10/u,A B,Sports Park and Cook Park,$450.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2013_application_fall_tournament_all.pdf
4310379,2013 Dupage Ultimate Softball Tournament,"<p>The Carol Stream Storm would like to invite you to the 6<sup>th</sup> Annual Dupage Ultimate Softball Tournament to be held on September 21<sup>st</sup> and 22<sup>nd</sup>.<span>&nbsp; </span>This tournament will be held at McCaslin for the 12 &amp; 14 levels NO METAL SPIKES ALLOWED!<span>&nbsp; </span>The 16 &amp; 18 levels will be at 4 surrounding parks or Armstrong if they have not begun construction, fields with concessions, bathrooms and plenty of parking at all locations. &ndash; No gate fee will be charged.<span></span></p>
<p><span></span>This is a 2014 Tournament: example if you are a second year 12U team for 2013, than you would play at the 14U level for this tournament.</p>
<p>All pool play games will be 75 minute time limit, finish the inning and can end in a tie.<span>&nbsp; </span>Bracket Play will be 75 minute time limit no new inning can start.<span>&nbsp; </span>This is a 4 game minimum guarantee 3 pool games into a single elimination brackets. <span>&nbsp;</span>Championship Games will have no time limit.<span>&nbsp; </span>1<sup>st</sup> &amp; 2<sup>nd</sup> place team and individual trophies.<span> </span></p>
<p>The tournament host has the right to modify this due to weather conditions, which will result in reduced game times or cancelation of games.<span>&nbsp; </span>Two games per team constitutes a tournament &ndash; if your team gets only 1 game in you will receive 50% of your money back, if you get zero games in we will return all, but a $75.00 admin fee.</p>
<p>Based on the number of teams, berths will be awarded by USSSA to the 2014 USSSA World Series.</p>
<p>Minimum Games Guaranteed:<span> </span>4 (3 pool play into a single elimination)</p>
<p>Max Team per Division:<span> </span>12</p>
",21-Aug-2013,22-Sep-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/12/u;/Fast Pitch/Illinois State Tournaments/14/u;/Fast Pitch/Illinois State Tournaments/16/u;/Fast Pitch/Illinois State Tournaments/18/u;,,,Dupage,IL,,US,21-Sep-2013,12/u 14/u 16/u 18/u,Open,"Glasshagel Park, Kent Park; Walter Park; Armstrong Park & McCaslin Parks",$450.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2013 Dupage Ultimate Softball Tournament Registration.pdf
4194339,2013 USSSA Illinois Gold 10U - 18U Qualifier,"<p>$100 Cancellation Fee! Refunds for cancellations 30 days or more in advance. NO refunds if less than 30 days unless spot is filled.</p><p>8 Team max in the 10U &amp; 18U age divisions.</p><p>12 Team max in the 12U, 13U, 14U, and 16U age divisions.</p>",12-Jul-2013,07-Oct-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,103 W. Lincoln Ave.,,Davis Junction,Il,,US,05-Oct-2013,18/u 17/u 16/u 15/u 14/u 13/u 12/u 11/u 10/u,Open,Davis Junction,$375,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/tournaments/2014  FP Davis Junction 3rd annual Fall Qual doc.pdf
4159181,Wendls Sports Complex 2013 World Series Qualifier,,09-May-2013,01-Jul-2013,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,1901 South High Cross Road,,Urbana,IL,61802,US,28-Jun-2013,18/u 14/u 12/u 10/u 8/u,A B Open,Wendl's Sports Complex,325,,,/fast-pitch/June 28th-30th Wendls Sports Complex.pdf
